structure_id,category,applicability,destinations,content_types,response_type,required_representation,dok_range,bloom_process_descriptors,evidence_produced,works_well_when,avoid_when,security_suitability,provenance
FEATURE-EVALUATE-VS-SOLVE-01,Representation Reading,"Alg1, Alg2, PreCalc, APCalc","Notes, Warm-Up, Practice, Exit Ticket, Quick Check",function notation; graph/table/equation evaluation vs solving,short constructed-response or paired numeric responses,graph/table/equation,2,"Understand, Apply",whether the student distinguishes evaluation from inverse/solve thinking instead of treating both as substitution,the course needs the evaluate-vs-solve distinction made explicit,"using two unrelated functions, which weakens the conceptual contrast",Formative; Summative-safe with new functions,user-identified high-value Algebra discussion/visual distinction
PHYS-PREDICT-JUSTIFY-01,Physics FRQ / Scientific Reasoning,"Physics, AP Physics, physical science","WTC, Notes, Quick Check, Exit Ticket, Summative, PT","motion, forces, energy, momentum, waves, electricity, magnetism, thermal phenomena",short or extended constructed-response,scenario/diagram/data as appropriate,2–3,"Apply, Analyze",whether the student can use physics to predict rather than merely explain after seeing an outcome,prediction can expose conceptual models before or after instruction,asking for a guess with no required physical basis,Formative; Summative-safe with novel scenario,user-requested Physics FRQ language; structure-only synthesis of common physics free-response reasoning
PHYS-PREDICT-OBSERVE-RECONCILE-01,Physics FRQ / Scientific Reasoning,"Physics, AP Physics, physical science","WTC, Demonstration support, Investigation support, Quick Check, PT",observable phenomena and demonstrations,multi-part constructed-response,prediction -> observed result/data -> revised explanation,3,"Analyze, Evaluate",whether the student can revise a model in response to evidence rather than protect an initial intuition,demonstrations/investigations are used to create conceptual conflict or model refinement,when students see the result before making a prediction,Formative / PT; not a routine secure summative structure,user demonstration/investigation philosophy plus general scientific model-revision practice
PHYS-RANK-COMPARE-QUANTITIES-01,Physics FRQ / Scientific Reasoning,"Physics, AP Physics","Practice, Quick Check, Exit Ticket, Summative","force, acceleration, energy, momentum, power, field, wave quantities, circuit quantities",ranking + short justification,2–5 diagrams/scenarios/data cases,2–3,Analyze,whether the student understands qualitative dependence and controlling variables,you want conceptual comparison more than arithmetic,when each case requires a completely unrelated calculation,Summative-safe with novel cases,structure-only synthesis of common physics ranking-task / free-response conventions
PHYS-REPRESENTATION-CONSISTENCY-01,Physics FRQ / Scientific Reasoning,"Physics, AP Physics","Notes, Practice, Quick Check, Exit Ticket, Summative","force diagrams, motion diagrams, graphs, circuit diagrams, ray diagrams, wave representations",constructed-response / critique,two or more representations of the same physical situation,3,"Analyze, Evaluate",whether understanding transfers across representations and whether the student can diagnose a mismatch,the I-can explicitly connects models/representations,when representations are decorative duplicates with no consistency question,Summative-safe with new representations,"user Physics framework style and existing multi-representation architecture, specialized for physics model consistency"
PHYS-DESIGN-MEASUREMENT-PROCEDURE-01,Physics FRQ / Scientific Reasoning,"Physics, AP Physics","Quick Check, PT, Summative, Investigation support",experimental measurement of physical relationships,extended constructed-response,apparatus/phenomenon -> procedure + measurements + analysis plan,3–4,"Analyze, Create",whether the student can convert a physics question into an actionable measurement-and-analysis plan,PT/QC needs science-practice evidence beyond calculation,reducing to a cookbook procedure supplied by the prompt,Summative-safe / PT,user-requested physics FRQ language and general experimental-design conventions
PHYS-DATA-TREND-MODEL-01,Physics FRQ / Scientific Reasoning,"Physics, AP Physics","Practice, Quick Check, Summative, PT","experimental data, graphs, empirical relationships",constructed-response,table/graph/data -> trend/model/physical interpretation,2–3,Analyze,whether the student can turn data into a physical relationship and explain its meaning,data reasoning is part of the learning target,"asking ""analyze the graph"" without specifying the feature/claim needed",Summative-safe with new data,existing data/model structures specialized for physics evidence interpretation
PHYS-QUALITATIVE-CHANGE-PREDICT-01,Physics FRQ / Scientific Reasoning,"Physics, AP Physics","Warm-Up, Notes, Practice, Exit Ticket, Quick Check",dependence of one physical quantity on another,short constructed-response,relationship/formula/diagram/scenario,2–3,"Apply, Analyze",whether the student understands relationships conceptually instead of only substituting numbers,conceptual Physics or pre-calculation reasoning is desired,when the relationship is too trivial to require any reasoning,Formative; Summative-safe with novel scenario,user Conceptual Physics emphasis and general qualitative FRQ conventions
PHYS-ASSUMPTION-MODEL-CRITIQUE-01,Physics FRQ / Scientific Reasoning,"Physics, AP Physics","Quick Check, Summative, PT","idealized models, approximations, system assumptions",constructed-response / critique,model/procedure/scenario + stated or implied assumption,3,"Analyze, Evaluate",whether the student understands the conditions under which a model is valid,students are ready to distinguish model from reality,"asking for a generic ""source of error"" list with no consequence analysis",Summative-safe,general physics model-evaluation practice; supports the user's deeper QC/PT evidence goals
DE-SLOPEFIELD-INTERPRET-01,AP Calculus — Differential Equations,APCalc,"Notes, Practice, Exit Ticket, Quick Check, Summative",slope fields and solution behavior,short constructed-response or selected-response,differential equation and/or slope field,2–3,"Apply, Analyze",whether the student interprets a differential equation as a field of local rates rather than only a symbolic expression,Unit 7 slope-field learning,purely decorative slope fields with no reasoning from them,Summative-safe with new fields/equations,AP Calculus differential-equation task conventions; original example
DE-EULER-APPROXIMATE-01,AP Calculus — Differential Equations,APCalc,"Notes, Practice, Exit Ticket, Quick Check, Summative",Euler's method,numeric entry / short constructed-response,differential equation + initial condition + step size,2,Apply,whether the student understands Euler updating rather than memorizing one formula substitution,approximate solution values from rate information,inflating DOK solely by increasing the number of Euler steps,Summative-safe with new parameters,AP Calculus Unit 7 conventional structure; original example
DE-SEPARATE-IVP-01,AP Calculus — Differential Equations,APCalc,"Notes, Practice, Quick Check, Summative",separable differential equations and initial conditions,constructed-response,differential equation -> separated/integrated solution -> initial-condition constant,2–3,"Apply, Analyze","whether the student coordinates separation, integration, and initial-condition reasoning",Unit 7 IVP solving,asking for a general solution and then a completely unrelated evaluation,Summative-safe,AP Calculus differential-equation procedure conventions; original example
DE-MODEL-RATE-INTERPRET-01,AP Calculus — Differential Equations,APCalc,"Notes, Practice, Exit Ticket, Quick Check, Summative, PT",differential-equation models in context,constructed-response,context -> differential equation / derivative interpretation,2–3,"Understand, Analyze",whether the student understands a differential equation as a model of changing quantities,"conceptual/modeling evidence is needed, especially AP free response",turning every item into solve-the-DE when interpretation is the target,Summative-safe,AP Calculus modeling conventions; original example
INTEGRAL-NETCHANGE-CONTEXT-01,AP Calculus — Applications of Integration,APCalc,"Notes, Practice, Exit Ticket, Quick Check, Summative",net change / accumulation from rates,constructed-response / numeric entry,rate function/table/graph -> definite integral -> contextual amount,2–3,"Apply, Analyze",whether the student connects accumulation to rate and distinguishes change from amount,Unit 8 contextual accumulation,using integral notation without requiring interpretation of what accumulates,Summative-safe,AP Calculus applications-of-integration conventions; original example
INTEGRAL-AREA-BETWEEN-CURVES-01,AP Calculus — Applications of Integration,APCalc,"Notes, Practice, Exit Ticket, Quick Check, Summative",area between curves,constructed-response / setup + evaluation,equations and/or graph -> intersection bounds -> integral,2–3,"Apply, Analyze",whether the student can translate a geometric region into a correct accumulation model,Unit 8 region/area problems,giving all bounds/order so completely that only button-pushing remains when setup is the target,Summative-safe,AP Calculus applications-of-integration conventions; original example
INTEGRAL-VOLUME-CROSSSECTIONS-01,AP Calculus — Applications of Integration,APCalc,"Notes, Practice, Quick Check, Summative",volume with known cross sections,constructed-response / setup + evaluation,base region + cross-section rule -> area function -> volume integral,2–3,"Apply, Analyze",whether the student can build a volume integral from changing geometry,Unit 8 cross-section volume,providing the area function when deriving it is the important learning target,Summative-safe,AP Calculus applications-of-integration conventions; original example
INTEGRAL-VOLUME-REVOLUTION-01,AP Calculus — Applications of Integration,APCalc,"Notes, Practice, Exit Ticket, Quick Check, Summative",solids of revolution,constructed-response / setup + evaluation,region + axis of rotation -> radius/radii -> integral,2–3,"Apply, Analyze",whether the student can convert geometric rotation into an accumulation model,Unit 8 solids of revolution,reducing to memorized piR^2 with no region interpretation when setup is the target,Summative-safe,AP Calculus applications-of-integration conventions; original example
EVIDENCE-SHORT-MICROSET-01,Exit Ticket / Evidence Set,all courses,Exit Ticket,one mapped I-can that can be sampled through several short executions/representations,2–4 short responses,one or more compact representations,"1–2, occasionally 3 only if the I-can itself requires strategic reasoning",Depends on mapped I-can,"a compact, interpretable evidence sample for one I-can",portfolio needs a quick clean signal on one target,using four unrelated mini-questions merely to fill a ticket,Formative evidence; replacement-safe when the explicit I-can map is preserved,"user Exit Ticket philosophy: explicit I-can evidence map, 5–8 minutes, targeted replacement allowed"
EVIDENCE-SHORT-MULTIPART-01,Exit Ticket / Evidence Set,all courses,"Exit Ticket, Quick Check",two or more closely connected mapped I-cans that can be evidenced in one short shared object/context,one compact multi-part constructed-response,shared equation/graph/table/scenario/diagram -> connected parts,2–3 depending on connection,"Apply, Analyze",how related I-cans work together on one coherent task,one shared object gives more coherent evidence than several disconnected prompts,stuffing unrelated I-cans together merely to increase coverage,Formative evidence; can serve as a deeper Exit Ticket or short QC,user Exit Ticket philosophy plus shared-context FRQ coherence rules
WTC-FRQ-PREVIEW-01,WTC / Section Opener,"Alg1, PreCalc, APCalc, Physics, science","WTC, Notes",upcoming section concept that can be previewed through a coherent object/context before formal instruction,short multi-part free-response; usually 3–5 connected parts around one shared stimulus/object,actual graph/table/diagram/data/scenario/object appropriate to the section when available; do not substitute a list of disconnected prose prompts,"1–3 depending on prior knowledge, but DOK label is secondary because this is an instructional opener","Understand, Analyze, sometimes Create",what students bring into the section and which conceptual bridge the later reading/examples should address,every WTC should feel like a real free-response experience and feed the conceptual story of Notes,"a loose generic prompt, several unrelated preview questions bundled together, or a pretest that demands procedures students have not learned",Instructional only; not summative-safe by purpose,user WTC philosophy: coherent FRQ-style section opener tied to mapped I-cans and later Notes
